Designator,Val,Package,Mid X,Mid Y,Rotation,Layer
C1,10uF,C_0805_2012Metric_Pad1.18x1.45mm_HandSolder,34.15,-55.86302,0,bottom
C2,22pF,C_0805_2012Metric_Pad1.18x1.45mm_HandSolder,59.6875,-65.35052,0,bottom
C3,22pF,C_0805_2012Metric_Pad1.18x1.45mm_HandSolder,59.6875,-62.05052,0,bottom
C4,0.1uF,C_0805_2012Metric_Pad1.18x1.45mm_HandSolder,43.25,-71.95052,180,bottom
C5,0.1uF,C_0805_2012Metric_Pad1.18x1.45mm_HandSolder,34.15,-65.10052,270,bottom
C6,1uF,C_0805_2012Metric_Pad1.18x1.45mm_HandSolder,43.64,-47.01052,180,bottom
C7,0.1uF,C_0805_2012Metric_Pad1.18x1.45mm_HandSolder,55.54,-56.55052,90,bottom
D1,D_Small,D_SOD-123_Refelence@Left,31.18,-39.36052,180,bottom
D2,D_Small,D_SOD-123_Refelence@Left,31.17,-90.35052,180,bottom
D3,D_Small,D_SOD-123_Refelence@Left,31.15,-107.35052,180,bottom
D4,D_Small,D_SOD-123_Refelence@Left,49.039333,-39.36052,180,bottom
D5,D_Small,D_SOD-123_Refelence@Left,26.79,-56.35052,180,bottom
D6,D_Small,D_SOD-123_Refelence@Left,35.65,-73.35052,180,bottom
D7,D_Small,D_SOD-123_Refelence@Left,49.029333,-90.35052,180,bottom
D8,D_Small,D_SOD-123_Refelence@Left,49.05,-107.35052,180,bottom
D9,D_Small,D_SOD-123_Refelence@Left,66.898666,-39.36052,180,bottom
D10,PRTR5V0U2X,SOT-143,31.35,-25.10052,270,bottom
D11,D_Small,D_SOD-123_Refelence@Left,59.32,-56.36052,180,bottom
D12,D_Small,D_SOD-123_Refelence@Left,58.65,-73.35052,180,bottom
D13,D_Small,D_SOD-123_Refelence@Left,66.888666,-90.35052,180,bottom
D14,D_Small,D_SOD-123_Refelence@Left,71.35,-107.35052,180,bottom
D15,D_Small,D_SOD-123_Refelence@Left,84.757999,-39.36052,180,bottom
D16,D_Small,D_SOD-123_Refelence@Left,75.828888,-56.37052,180,bottom
D17,D_Small,D_SOD-123_Refelence@Left,75.828888,-73.35052,180,bottom
D18,D_Small,D_SOD-123_Refelence@Left,84.747999,-90.35052,180,bottom
D19,D_Small,D_SOD-123_Refelence@Left,93.7,-107.35052,180,bottom
D20,D_Small,D_SOD-123_Refelence@Left,102.617332,-39.36052,180,bottom
D21,D_Small,D_SOD-123_Refelence@Left,93.687776,-56.37052,180,bottom
D22,D_Small,D_SOD-123_Refelence@Left,93.687776,-73.35052,180,bottom
D23,D_Small,D_SOD-123_Refelence@Left,102.607332,-90.35052,180,bottom
D25,D_Small,D_SOD-123_Refelence@Left,120.476665,-39.36052,180,bottom
D26,D_Small,D_SOD-123_Refelence@Left,111.546664,-56.37052,180,bottom
D27,D_Small,D_SOD-123_Refelence@Left,111.546664,-73.35052,180,bottom
D28,D_Small,D_SOD-123_Refelence@Left,120.466665,-90.35052,180,bottom
D29,D_Small,D_SOD-123_Refelence@Left,120.45,-107.35052,180,bottom
D30,D_Small,D_SOD-123_Refelence@Left,138.335998,-39.36052,180,bottom
D31,D_Small,D_SOD-123_Refelence@Left,129.405552,-56.37052,180,bottom
D32,D_Small,D_SOD-123_Refelence@Left,129.405552,-73.35052,180,bottom
D33,D_Small,D_SOD-123_Refelence@Left,138.325998,-90.35052,180,bottom
D35,D_Small,D_SOD-123_Refelence@Left,156.195331,-39.36052,180,bottom
D36,D_Small,D_SOD-123_Refelence@Left,147.26444,-56.37052,180,bottom
D37,D_Small,D_SOD-123_Refelence@Left,147.26444,-73.35052,180,bottom
D38,D_Small,D_SOD-123_Refelence@Left,156.185331,-90.35052,180,bottom
D39,D_Small,D_SOD-123_Refelence@Left,156.2,-107.35052,180,bottom
D40,D_Small,D_SOD-123_Refelence@Left,174.054664,-39.36052,180,bottom
D41,D_Small,D_SOD-123_Refelence@Left,165.123328,-56.37052,180,bottom
D42,D_Small,D_SOD-123_Refelence@Left,165.123328,-73.35052,180,bottom
D43,D_Small,D_SOD-123_Refelence@Left,174.044664,-90.35052,180,bottom
D45,D_Small,D_SOD-123_Refelence@Left,191.913997,-39.36052,180,bottom
D46,D_Small,D_SOD-123_Refelence@Left,182.982216,-56.37052,180,bottom
D47,D_Small,D_SOD-123_Refelence@Left,182.982216,-73.35052,180,bottom
D48,D_Small,D_SOD-123_Refelence@Left,191.903997,-90.35052,180,bottom
D49,D_Small,D_SOD-123_Refelence@Left,183,-107.35052,180,bottom
D50,D_Small,D_SOD-123_Refelence@Left,209.77333,-39.36052,180,bottom
D51,D_Small,D_SOD-123_Refelence@Left,200.841104,-56.37052,180,bottom
D52,D_Small,D_SOD-123_Refelence@Left,200.841104,-73.35052,180,bottom
D53,D_Small,D_SOD-123_Refelence@Left,209.76333,-90.35052,180,bottom
D54,D_Small,D_SOD-123_Refelence@Left,205.3,-107.30052,180,bottom
D55,D_Small,D_SOD-123_Refelence@Left,227.632663,-39.36052,180,bottom
D56,D_Small,D_SOD-123_Refelence@Left,218.7,-56.37052,180,bottom
D57,D_Small,D_SOD-123_Refelence@Left,218.7,-73.35052,180,bottom
D58,D_Small,D_SOD-123_Refelence@Left,227.622663,-90.35052,180,bottom
D59,D_Small,D_SOD-123_Refelence@Left,227.65,-111.60052,180,bottom
