Designator,Val,Package,Mid X,Mid Y,Rotation,Layer
C1,10uF,C_0805_2012Metric_Pad1.18x1.45mm_HandSolder,-25.633639,-86.340857,135,bottom
C2,22pF,C_0805_2012Metric_Pad1.18x1.45mm_HandSolder,-20.220016,-69.88448,135,bottom
C3,22pF,C_0805_2012Metric_Pad1.18x1.45mm_HandSolder,-13.440016,-76.50448,-45,bottom
C4,0.1uF,C_0805_2012Metric_Pad1.18x1.45mm_HandSolder,-26.500016,-72.47448,-45,bottom
C5,0.1uF,C_0805_2012Metric_Pad1.18x1.45mm_HandSolder,-30.300016,-80.67448,45,bottom
C6,1uF,C_0805_2012Metric_Pad1.18x1.45mm_HandSolder,-17.250016,-85.62448,-45,bottom
C7,0.1uF,C_0805_2012Metric_Pad1.18x1.45mm_HandSolder,-10.650016,-78.52448,-45,bottom
D1,D_Small,D_SOD-123-Pretty_No_Reference,-3.793682,-16.35,180,bottom
D2,D_Small,D_SOD-123-Pretty_No_Reference,-4.650016,-69.92448,180,bottom
D4,D_Small,D_SOD-123-Pretty_No_Reference,-15.443682,-15.5,90,bottom
D5,D_Small,D_SOD-123-Pretty_No_Reference,-21.243682,-32.5,90,bottom
D6,D_Small,D_SOD-123-Pretty_No_Reference,-18.950016,-51.22448,180,bottom
D7,D_Small,D_SOD-123-Pretty_No_Reference,-41.850016,-71.12448,90,bottom
D9,D_Small,D_SOD-123-Pretty_No_Reference,-33.343682,-14.7,90,bottom
D10,PRTR5V0U2X,SOT-143,-9.415016,1.6,-90,bottom
D11,D_Small,D_SOD-123-Pretty_No_Reference,-24.043682,-31.7,90,bottom
D12,D_Small,D_SOD-123-Pretty_No_Reference,-27.450016,-50.32448,90,bottom
D13,D_Small,D_SOD-123-Pretty_No_Reference,-44.350016,-70.32448,90,bottom
D14,D_Small,D_SOD-123-Pretty_No_Reference,-63.523448,-82.67448,90,bottom
D15,D_Small,D_SOD-123-Pretty_No_Reference,-51.150016,-15.5,90,bottom
D16,D_Small,D_SOD-123-Pretty_No_Reference,-42.243682,-32.5,90,bottom
D17,D_Small,D_SOD-123-Pretty_No_Reference,-42.150016,-49.47448,90,bottom
D18,D_Small,D_SOD-123-Pretty_No_Reference,-51.150016,-66.47448,90,bottom
D19,D_Small,D_SOD-123-Pretty_No_Reference,-61.023448,-83.47448,90,bottom
D20,D_Small,D_SOD-123-Pretty_No_Reference,-68.943682,-14.7,90,bottom
D21,D_Small,D_SOD-123-Pretty_No_Reference,-60.150016,-31.69948,90,bottom
D22,D_Small,D_SOD-123-Pretty_No_Reference,-60.150016,-50.32448,90,bottom
D23,D_Small,D_SOD-123-Pretty_No_Reference,-68.950016,-65.67448,90,bottom
D25,D_Small,D_SOD-123-Pretty_No_Reference,-86.843682,-15.5,90,bottom
D26,D_Small,D_SOD-123-Pretty_No_Reference,-77.950016,-32.49948,90,bottom
D27,D_Small,D_SOD-123-Pretty_No_Reference,-77.900016,-49.47448,90,bottom
D28,D_Small,D_SOD-123-Pretty_No_Reference,-86.800016,-66.47448,90,bottom
D29,D_Small,D_SOD-123-Pretty_No_Reference,-105.623448,-83.5,90,bottom
D30,D_Small,D_SOD-123-Pretty_No_Reference,-104.643682,-14.7,90,bottom
D31,D_Small,D_SOD-123-Pretty_No_Reference,-95.775016,-31.69948,90,bottom
D32,D_Small,D_SOD-123-Pretty_No_Reference,-95.850016,-50.32448,90,bottom
D33,D_Small,D_SOD-123-Pretty_No_Reference,-104.700016,-65.67448,90,bottom
D35,D_Small,D_SOD-123-Pretty_No_Reference,-122.523448,-15.5,90,bottom
D36,D_Small,D_SOD-123-Pretty_No_Reference,-113.675016,-32.49948,90,bottom
D37,D_Small,D_SOD-123-Pretty_No_Reference,-113.700016,-49.47448,90,bottom
D38,D_Small,D_SOD-123-Pretty_No_Reference,-122.623448,-66.5,90,bottom
D39,D_Small,D_SOD-123-Pretty_No_Reference,-108.123448,-82.6,90,bottom
D40,D_Small,D_SOD-123-Pretty_No_Reference,-140.423448,-13.5,90,bottom
D41,D_Small,D_SOD-123-Pretty_No_Reference,-131.523448,-31.7,90,bottom
D42,D_Small,D_SOD-123-Pretty_No_Reference,-131.623448,-50.4,90,bottom
D43,D_Small,D_SOD-123-Pretty_No_Reference,-140.423448,-65.675,90,bottom
D44,D_Small,D_SOD-123-Pretty_No_Reference,-129.823448,-82.65,90,bottom
D45,D_Small,D_SOD-123-Pretty_No_Reference,-158.250016,-14.4,90,bottom
D46,D_Small,D_SOD-123-Pretty_No_Reference,-149.350016,-32.49948,90,bottom
D47,D_Small,D_SOD-123-Pretty_No_Reference,-149.323448,-45.9,-90,bottom
D48,D_Small,D_SOD-123-Pretty_No_Reference,-158.300016,-66.47448,90,bottom
D49,D_Small,D_SOD-123-Pretty_No_Reference,-152.773448,-83.5,90,bottom
D50,D_Small,D_SOD-123-Pretty_No_Reference,-176.1,-14.3,90,bottom
D51,D_Small,D_SOD-123-Pretty_No_Reference,-167.175016,-31.69948,90,bottom
D52,D_Small,D_SOD-123-Pretty_No_Reference,-167.250016,-50.32448,90,bottom
D53,D_Small,D_SOD-123-Pretty_No_Reference,-176.150016,-65.67448,90,bottom
D54,D_Small,D_SOD-123-Pretty_No_Reference,-198.223448,-83.6,90,bottom
D55,D_Small,D_SOD-123-Pretty_No_Reference,-193.993682,-15.45,90,bottom
D56,D_Small,D_SOD-123-Pretty_No_Reference,-185.025016,-32.49948,90,bottom
D57,D_Small,D_SOD-123-Pretty_No_Reference,-185.050016,-49.47448,90,bottom
D58,D_Small,D_SOD-123-Pretty_No_Reference,-194.000016,-66.47448,90,bottom
D59,D_Small,D_SOD-123-Pretty_No_Reference,-217.323448,-83.47448,90,bottom
D60,D_Small,D_SOD-123-Pretty_No_Reference,-211.843682,-14.7,90,bottom
D61,D_Small,D_SOD-123-Pretty_No_Reference,-202.900016,-31.69948,90,bottom
D62,D_Small,D_SOD-123-Pretty_No_Reference,-202.950016,-50.32448,90,bottom
D63,D_Small,D_SOD-123-Pretty_No_Reference,-211.850016,-65.67448,90,bottom
D64,D_Small,D_SOD-123-Pretty_No_Reference,-219.923448,-82.67448,90,bottom
D65,D_Small,D_SOD-123-Pretty_No_Reference,-229.743682,-15.45,90,bottom
D66,D_Small,D_SOD-123-Pretty_No_Reference,-220.825016,-32.49948,90,bottom
D67,D_Small,D_SOD-123-Pretty_No_Reference,-220.850016,-49.47448,90,bottom
D68,D_Small,D_SOD-123-Pretty_No_Reference,-229.650016,-66.47448,90,bottom
D70,D_Small,D_SOD-123-Pretty_No_Reference,-247.543682,-14.7,90,bottom
D71,D_Small,D_SOD-123-Pretty_No_Reference,-238.600016,-31.69948,90,bottom
D72,D_Small,D_SOD-123-Pretty_No_Reference,-238.650016,-50.32448,90,bottom
D73,D_Small,D_SOD-123-Pretty_No_Reference,-247.600016,-65.67448,90,bottom
D75,D_Small,D_SOD-123-Pretty_No_Reference,-265.343682,-15.5,90,bottom
D76,D_Small,D_SOD-123-Pretty_No_Reference,-260.675016,-32.49948,90,bottom
D77,D_Small,D_SOD-123-Pretty_No_Reference,-260.450016,-49.47448,90,bottom
D78,D_Small,D_SOD-123-Pretty_No_Reference,-265.400016,-66.47448,90,bottom
D99,D_Small,D_SOD-123-Pretty_No_Reference,-241.823448,-71.9,180,bottom
F1,500mA,Fuse_1206_3216Metric_Pad1.42x1.75mm_HandSolder,-28.600016,0.2,180,bottom
J1,USB_C_Receptacle_USB2.0,USB_C_Receptacle_GCT_USB4085,-15.550016,-0.81448,0,bottom
J2,Conn_01x04,PinHeader_1x04_P2.54mm_Vertical,-157.9,2.7,-90,bottom
J3,Conn_01x02,PinHeader_1x02_P2.54mm_Vertical,-128.150016,-0.21,0,bottom
J4,Conn_01x02,PinHeader_1x02_P2.54mm_Vertical,-103.550016,2.675,-90,bottom
J5,Conn_02x03_Odd_Even,PinHeader_2x03_P2.54mm_Vertical,-36.850016,-83.52448,-90,bottom
L1,SK6812MINI-E,YS-SK6812MINI-E_large_hole_with_small_pad,-8.929688,-3.8,0,bottom
L2,SK6812MINI-E,YS-SK6812MINI-E_large_hole_with_small_pad,-26.784349,-3.8,0,bottom
L3,SK6812MINI-E,YS-SK6812MINI-E_large_hole_with_small_pad,-44.643682,-3.8,0,bottom
L4,SK6812MINI-E,YS-SK6812MINI-E_large_hole_with_small_pad,-62.503015,-3.8,0,bottom
L5,SK6812MINI-E,YS-SK6812MINI-E_large_hole_with_small_pad,-80.362348,-3.8,0,bottom
L6,SK6812MINI-E,YS-SK6812MINI-E_large_hole_with_small_pad,-98.221681,-3.8,0,bottom
L7,SK6812MINI-E,YS-SK6812MINI-E_large_hole_with_small_pad,-116.081014,-3.8,0,bottom
L8,SK6812MINI-E,YS-SK6812MINI-E_large_hole_with_small_pad,-133.94057,-3.8,0,bottom
L9,SK6812MINI-E,YS-SK6812MINI-E_large_hole_with_small_pad,-151.799946,-3.8,0,bottom
L10,SK6812MINI-E,YS-SK6812MINI-E_large_hole_with_small_pad,-169.659322,-3.8,0,bottom
L11,SK6812MINI-E,YS-SK6812MINI-E_large_hole_with_small_pad,-187.518698,-3.8,0,bottom
L12,SK6812MINI-E,YS-SK6812MINI-E_large_hole_with_small_pad,-205.378074,-3.8,0,bottom
L13,SK6812MINI-E,YS-SK6812MINI-E_large_hole_with_small_pad,-223.242201,-3.8,0,bottom
L14,SK6812MINI-E,YS-SK6812MINI-E_large_hole_with_small_pad,-241.096826,-3.8,0,bottom
L15,SK6812MINI-E,YS-SK6812MINI-E_large_hole_with_small_pad,-258.960953,-3.8,0,bottom
