Ref,Val,Package,PosX,PosY,Rot,Side
"REF**","60_Outline","60_Outline-TinyHole_No_Hole3",142.850016,-42.474480,0.000000,top
"RE_42","RotaryEncoder_Switch","RotaryEncoder_Alps_EC11E-Switch_Vertical_H20mm",142.875008,-51.100000,90.000000,top
"SW_1","ESC","Kailh-PG1350-1u-MBK-WithKeyName-Socket-ForLeftEdge-1.8mm-hole-reflection",8.929688,-8.500000,0.000000,top
"SW_3","LSFT","Kailh-PG1350-1u-MBK-WithKeyName-Socket-ForLeftEdge-1.8mm-hole-reflection",8.929696,-59.500000,0.000000,top
"SW_5","1","Kailh-PG1350-1u-MBK-WithKeyName-Socket-1.8mm-hole-reflection",26.789064,-8.500000,0.000000,top
"SW_6","TAB 1.5u","Kailh-PG1350-1.5u-MBK-WithKeyName-Socket-1.8mm-hole-reflection",13.394532,-25.500000,0.000000,top
"SW_7","LCTL 1.5u","Kailh-PG1350-1.5u-MBK-WithKeyName-Socket-1.8mm-hole-reflection",13.394532,-42.500000,0.000000,top
"SW_8","Z","Kailh-PG1350-1u-MBK-WithKeyName-Socket-1.8mm-hole-reflection",26.789064,-59.500000,0.000000,top
"SW_10","2","Kailh-PG1350-1u-MBK-WithKeyName-Socket-1.8mm-hole-reflection",44.648440,-8.500000,0.000000,top
"SW_11","Q","Kailh-PG1350-1u-MBK-WithKeyName-Socket-1.8mm-hole-reflection",35.718752,-25.500000,0.000000,top
"SW_12","A","Kailh-PG1350-1u-MBK-WithKeyName-Socket-1.8mm-hole-reflection",35.718752,-42.500000,0.000000,top
"SW_13","X","Kailh-PG1350-1u-MBK-WithKeyName-Socket-1.8mm-hole-reflection",44.648440,-59.500000,0.000000,top
"SW_15","3","Kailh-PG1350-1u-MBK-WithKeyName-Socket-1.8mm-hole-reflection",62.507816,-8.500000,0.000000,top
"SW_16","W","Kailh-PG1350-1u-MBK-WithKeyName-Socket-1.8mm-hole-reflection",53.578128,-25.500000,0.000000,top
"SW_17","S","Kailh-PG1350-1u-MBK-WithKeyName-Socket-1.8mm-hole-reflection",53.578128,-42.500000,0.000000,top
"SW_18","C","Kailh-PG1350-1u-MBK-WithKeyName-Socket-1.8mm-hole-reflection",62.507816,-59.500000,0.000000,top
"SW_19","LGUI 1.5u","Kailh-PG1350-1.5u-MBK-WithKeyName-Socket-1.8mm-hole-reflection",53.578128,-76.500000,0.000000,top
"SW_20","4","Kailh-PG1350-1u-MBK-WithKeyName-Socket-1.8mm-hole-reflection",80.367192,-8.500000,0.000000,top
