Designator,Val,Package,Mid X,Mid Y,Rotation,Layer
"C1","10uF","C_0805_2012Metric_Pad1.18x1.45mm_HandSolder",-25.633639,-86.340857,135.000000,bottom
"C2","22pF","C_0805_2012Metric_Pad1.18x1.45mm_HandSolder",-20.220016,-69.884480,135.000000,bottom
"C3","22pF","C_0805_2012Metric_Pad1.18x1.45mm_HandSolder",-13.440016,-76.504480,-45.000000,bottom
"C4","0.1uF","C_0805_2012Metric_Pad1.18x1.45mm_HandSolder",-26.500016,-72.474480,-45.000000,bottom
"C5","0.1uF","C_0805_2012Metric_Pad1.18x1.45mm_HandSolder",-30.300016,-80.674480,45.000000,bottom
"C6","1uF","C_0805_2012Metric_Pad1.18x1.45mm_HandSolder",-17.250016,-85.624480,-45.000000,bottom
"C7","0.1uF","C_0805_2012Metric_Pad1.18x1.45mm_HandSolder",-10.650016,-78.524480,-45.000000,bottom
"D1","D_Small","D_SOD-123-Pretty_No_Reference",-3.793682,-16.350000,180.000000,bottom
"D2","D_Small","D_SOD-123-Pretty_No_Reference",-4.650016,-69.924480,180.000000,bottom
"D4","D_Small","D_SOD-123-Pretty_No_Reference",-15.443682,-15.500000,90.000000,bottom
"D5","D_Small","D_SOD-123-Pretty_No_Reference",-21.243682,-32.500000,90.000000,bottom
"D6","D_Small","D_SOD-123-Pretty_No_Reference",-18.950016,-51.224480,180.000000,bottom
"D7","D_Small","D_SOD-123-Pretty_No_Reference",-41.850016,-71.124480,90.000000,bottom
"D9","D_Small","D_SOD-123-Pretty_No_Reference",-33.343682,-14.700000,90.000000,bottom
"D10","PRTR5V0U2X","SOT-143",-9.415016,1.600000,-90.000000,bottom
"D11","D_Small","D_SOD-123-Pretty_No_Reference",-24.043682,-31.700000,90.000000,bottom
"D12","D_Small","D_SOD-123-Pretty_No_Reference",-27.450016,-50.324480,90.000000,bottom
"D13","D_Small","D_SOD-123-Pretty_No_Reference",-44.350016,-70.324480,90.000000,bottom
"D14","D_Small","D_SOD-123-Pretty_No_Reference",-63.523448,-82.674480,90.000000,bottom
"D15","D_Small","D_SOD-123-Pretty_No_Reference",-51.150016,-15.500000,90.000000,bottom
"D16","D_Small","D_SOD-123-Pretty_No_Reference",-42.243682,-32.500000,90.000000,bottom
"D17","D_Small","D_SOD-123-Pretty_No_Reference",-42.150016,-49.474480,90.000000,bottom
